LANG_KEY|LANG_1|LANG_2
Strategic Planning|التخطيط الإستراتيجي|Strategic Planning
Stream|مجرى|Stream
String|ركيزة|String
Student|الطالب|Student
Student Assessment|تقييم الطلاب|Student Assessment
Student Assessment Matrix|مصفوفة تقييم الطلاب|Student Assessment Matrix
Student Assessment Rubric|تقييم موضوع الطلاب|Student Assessment Rubric
Student Assessment Successfully Saved|تم حفظ تقييم الطلاب بنجاح|Student Assessment Successfully Saved
Student Count|عدد الطلاب|Student Count
Student name|اسم الطالب|Student name
Student Portfolio|ملف الطالب|Student Portfolio
Student Portfolios|ملفات الطالب|Student Portfolios
Student Score|نقاط الطلاب|Student Score
Student Status|حالة الطالب|Student Status
Student Statuses|حالات الطالب|Student Statuses
Student Work|عمل الطالب|Student Work
Student Work Management|إدارة عمل الطلاب|Student Work Management
Students|الطلاب|Students
students are Founded|العثور على الطلاب|students are Founded
students assigned to this course section.|طالب مسجل في هذه الشعبة الدراسية|students assigned to this course section.
Students Count|عدد الطلاب|Students Count
Students Scores|نقاط الطلاب|Students Scores
Sub Goals|الأهداف الفرعية|Sub Goals
Sub Menu|القائمة الفرعية|Sub Menu
Sub Objectives|الغايات الفرعية|Sub Objectives
Sub Projects|المشاريع الفرعية|Sub Projects
Subject|العنوان|Subject
Subject Taught|موضوع التدريس|Subject Taught
Submission Date|موعد التسليم|Submission Date
Submission Type|نوع التسليم|Submission Type
Submit|تسليم|Submit
Successful Delete|تم الحذف بنجاح|Successful Delete
Successfully Added|تمت الإضافة بنجاح|Successfully Added
Successfully Changed|تم التعديل بنجاح|Successfully Changed
Successfully Copied|تم النسخ بنجاح|Successfully Copied
Successfully Created|تم الإنشاء بنجاح|Successfully Created
Successfully Deleted|تم الحذف بنجاح|Successfully Deleted
Successfully Moved|تم النقل بنجاح|Successfully Moved
Successfully Reminded|تم التذكير بنجاح|Successfully Reminded
Successfully Saved|تم الحفظ بنجاح|Successfully Saved
Successfully Sent|تم الإرسال بنجاح|Successfully Sent
Successfully Shared|تمت المشاركة بنجاح|Successfully Shared
Successfully Split|تم الفصل بنجاح|Successfully Split
Successfully Update|تم التعديل بنجاح|Successfully Update
Summary|الملخص|Summary
Supervision|الإشراف|Supervision
Supervision Type|نوع الإشراف|Supervision Type
Supervisions|الإشرافات|Supervisions
Supervisor|مشرف|Supervisor
Supervisor Name|اسم المشرف|Supervisor Name
Support Material Management|إدارة مادة الدعم|Support Material Management
Support Materials|مواد الدعم|Support Materials
Support Party|حفل الدعم|Support Party
Survey|استبيان|Survey
Survey has been successfully launched.|تم إطلاق الاستبيان بنجاح|Survey has been successfully launched.
survey results|نتائج الاستبيان|survey results
Survey Statement|بيانات الاستبيان|Survey Statement
Survey Title|عنوان الاستبيان|Survey Title
Surveys|الاستبيانات|Surveys
Surveys Preview|عرض الاستبيانات|Surveys Preview
Surveys to Take|استبيانات يمكن أخذها|Surveys to Take
Syllabus|مخطط المادة الدراسية|Syllabus
Syllabus Fields|حقول مخطط المادة الدراسية|Syllabus Fields
Syllabus Management|إدارة مخطط المادة الدراسية|Syllabus Management
System Groups|مجموعات النظام|System Groups
Table 2. Preparatory or Foundation Program|جدول 2. البرنامج التحضيري أو الأساسي|Table 2. Preparatory or Foundation Program
Table 3. Program Data|جدول 3. بيانات البرنامج|Table 3. Program Data
Table 4. Summary of Programs' Teaching Staff|جدول 4. ملخص أعضاء هيئة التدريس للبرنامج|Table 4. Summary of Programs' Teaching Staff
Table 5. Numbers of Graduates in the Most Recent Year|جدول 5. عدد الخريجين في السنة الأخيرة|Table 5. Numbers of Graduates in the Most Recent Year
Table 6. Mode of Instruction – Student Enrollment|جدول 6. طريقة التدريس - تسجيل الطالب|Table 6. Mode of Instruction – Student Enrollment
Table 7. Mode of Instruction – Teaching Staff|جدول 7. طريقة التدريس - أعضاء الهيئة التدريسية|Table 7. Mode of Instruction – Teaching Staff
Table 8. Program Completion Rate/Graduation Rate|جدول 8. معدل إنجاز البرنامج / معدل التخرج|Table 8. Program Completion Rate/Graduation Rate
Take Survey|أخذ الاستبيان|Take Survey
Target|الهدف|Target
Target Benchmark|المؤشر الهدف|Target Benchmark
Task|مهمة|Task
Task Text|نص المهمة|Task Text
Task Title|عنوان المهمة|Task Title
Tasks|المهام|Tasks
Tasks Given|المهام المعطاة لي|Tasks Given
Teachers|المدرسين|Teachers
Teaching Material Management|إدارة المادة التعليمية|Teaching Material Management
Teaching Materials|المواد التعليمية|Teaching Materials
Teaching Staff Count|عدد أعضاء الهيئة التدريسيو|Teaching Staff Count
Teaching work load|أعباء التدريس|Teaching workload
Term|الفصل الدراسي|Term
test|تجربة|Test
Text|نص|Text
THANK YOU!|شكراً لك|THANK YOU!
the budget value can not be less than 0|قيمة المايزانية لا يجب أن تقل عن 0|the budget value can not be less than 0
The College was added in this system| الكلية تم إضافتها على النظام|The College was added in this system
The component review is: |المحتوى المراجع|The component review is:
The conversation has been marked as important.|تم وضع علامة "مهمة" على الرسالة|The conversation has been marked as important.
The conversation has been marked as not important.|تم وضع علامة "غير مهمة" على الرسالة|The conversation has been marked as not important.
The conversation has been marked as unread.|تم وضع علامة "غير مقروء" على المحادثة|The conversation has been marked as unread.
The conversation has been moved to the Inbox.|تم نقل المحادثة إلى البريد الوارد|The conversation has been moved to the Inbox.
The conversation has been moved to the Trash.|تم نقل المحادثة إلى المهملات|The conversation has been moved to the Trash.
The course has been initiated|تم البدء بالمادة الدراسية|The course has been initiated
the deadline range not set, please contact the administration to get a new deadline |لم يتم تحديد المدة الزمنية للموعد النهائي، يرجى التواصل مع المشرف لإضافة موعد نهائي جديد |the deadline range not set, please contact the administration to get a new deadline
The Group/s has been deleted.|تم حذف المجموعة|The Group/s has been deleted.
The max value is|أعلى قيمة هي|The max value is
The maximum rate value is|أعلى نسبة قيمة عي|The maximum rate value is
The program has been initiated|تم بدء البرنامج|The program has been initiated
The responsible users of this branch:|الأشخاص المسؤولين عن هذا الفرع|The responsible users of this branch:
The selected course does not have the selected assessment method|المادة الدراسية المتخارة لا تحتوي على طريقة تقييم|The selected course does not have the selected assessment method
the selected project has activities|المشروع المختار يمتلك  أنشطة|the selected project has activities
the selected project has sub-projects|المشرع المختار يحتوي على مشاريع فرعية|the selected project has sub-projects
the weight value should be between 1 and 10.|يجب أن يتراوح الوزن بين 1-10|the weight value should be between 1 and 10.
Theme Settings Saved Successfully|تم حفظ تعديلات الموضوع بنجاح|Theme Settings Saved Successfully
There are no|لا يوجد|There Are No
There is|يوجد|There is
There is no|لا يوجد|There is no
These Inputs  have results, to remove it make sure that all result are remove|هذا المدخل يحتوي على بيانات، للقيام بحفه قم بحذف جميع النتائج المرتبة به|These Inputs  have results, to remove it make sure that all result are remove
Thesis Title|عنوان الأطروحة|Thesis Title
Third Author|المؤلف الثالث|Third Author
This Assessment Method not used in this Course|طريقة التقييم هذه غير مستخدمة لهذه المادة الدراسية|This Assessment Method not used in this Course
This Assessor Has been Selected Before|تم اختيار هذه المقيّم من قبل|This Assessor Has been Selected Before
This Course has not been assessed yet|هذه المادة الدراسية لم تقيّم بعد|This Course has not been assessed yet
This Deadline Forms has data, You can't remove it|النماذج المرتبطة بهذا الموعد النهائي تحتوي على نتائج وبيانات لا يمكنك حذفها|This Deadline Forms has data, You can't remove it
This Field is Required|هذا الحقل مطلوب|This Field is Required
This field must be a Number|هذا الجقل يجب أن يكون عدد|This Field Must be a Number
This form are hidden, Please select another form|تم إخفاء هذا النموذج، بيرجى اختيار نموذج آخر|This Form are Hidden, Please Select Another Form
This Form has a result,You can't Add any Input|يحتوي هذا النموذج على نتائج، لا يمكنك إضافة مدخل جديد عليه|This Form has a Result,You Can't Add any Input
This form has been imported Successfully|تم تصدير النموذج بنجاح|This Form has been Imported Successfully
This form has been reverted Successfully|تم استرجاع النموذج بنجاح|This Form has been Reverted Successfully
This form has removed, You can't see it anymore|تم حذف هذا النموذج، لا يمكن رؤيته بعد الآن|This Form has Removed, You Can't see it Anymore
This Form has results, to remove it make sure that all result are remove|يحتوي هذا النموذج على نتائج، لحذفه قم بإزالة جميع النتائج المتعلقة بهذا النموذج|This Form has results, to remove it make sure that all result are remove
This is a duplicate KPI and strategy entry.|مؤشر الأداء مكرر و إدخال الاستراتيجيات|This is a Duplicate KPI and Strategy entry.
This is a required field|هذا الحقل مطلوب|This is a Required Field
This Process Will take a few Moments|هذه العملية تحتاج إلى دقائق معدودة|This Process Will take a few Moments
This Reviewer Has been Selected Before|تم اختيار هذا المراجع من قبل|This Reviewer Has been Selected Before
This Section is not Available in this Semester|هذه الشعبة غير متاحة لهذا الفصل الدراسي|This Section is not Available in this Semester
This student does not attend this course|هذا الطالب لم يحضر هذه المادة الدراسية|This student does not attend this course
This Student Has not been Assessed yet|لم يتم تقييم هذا الطالب بعد|This Student Has not been Assessed yet
This survey does not have a "Factor and Statement" question type.|هذا الاستبيان لا يحتوي على سؤال من نواع " عوامل وبيانات"|This survey does not have a "Factor and Statement" question type.
This survey was created by another user you cannot edit the layout or the survey structure|هذا الاستبيان تم إنشاؤه من قبل مستخدم آخر لا يمكنك التعديل عليها أو على بناء الاستبيان|This survey was created by another user you cannot edit the layout or the survey structure
This text is displayed if your browser does not support the Canvas HTML element.|هذا النص سوف يظهر في حال أن المتصفح لا يدعم العناصر من نوع " Canvas HTML "|This text is displayed if your browser does not support the Canvas HTML element.
This type has forms, to remove it make sure that all forms & result are remove|هذا النوع يحتوي على نماذج، للقيام بحذفه تأكد من حذف جميع النماذج الخاصة بهذا النوع |This type has forms, to remove it make sure that all forms & result are remove
This value exceeds the remaining Action Plan budget balance of|هذه القيمة تزيد عن قيمة ميزانية خطة العمل  المقترحة ب|This value exceeds the remaining Action Plan budget balance of
This value exceeds the remaining Objective budget balance of|هذه القيمة تزيد عن قيمة ميزانية الغاية المقترحة ب|This value exceeds the remaining Objective budget balance of
This value is less than the sum of all the Action Plans' budget of|هذه القيمة أقل من مجموع ميزانية خطة العمل|This value is less than the sum of all the Action Plans' budget of
This value is less than the sum of all the Projects' budget of|هذه القيمة أقل من مجموع ميزانية المشاريع|This value is less than the sum of all the Projects' budget of
Thises Title|عنوان الرسالة|Thises Title
Time Frame|المدة الزمنية|Time Frame
Title|العنوان|Title
To|إلى|To
To another server|لخادم آخر|To Another Server
To be alerted|ليتم تنبيهه|To be Alerted
To date greater than from date|إلى تاريخ أكبر من التاريخ|To Date Greater than From Date
To google account|لحساب جوجل|To Google Account
To the server|للخادم|To the Server
Topic Title|عنوان الموضوع|Topic Title
Topics|المواضيع|Topics
Total of rate type must be less than 100|مجموع نسب النوع يجب أن تكون أقل من 100|Total of Rate Type must be Less than 100
Total performance|مجموع الأداء|Total Performance
Tracks|المسارات|Tracks
Training Title|عنوان التدريب|Training Title
Trainings|التدريبات|Trainings
Translated Book|كتاب مترجم|Translated Book
Translation|الترجمة|Translation
Translations|الترجمات|Translations
Trash|المهملات|Trash
Tree|الشجرة|Tree
Trend|الإتجاه|Trend
Troubleshooting Tips|نصائح الكشف عن الأخطاء وإصلاحها|Troubleshooting Tips
Twitter|تويتر|Twitter
Type|النوع|Type
Type Invalid!|نوع خاطئ|Type Invalid!
Type name|اسم النوع|Type Name
Type Rate|نسبة النوع|Type Rate
Type Settings|إعدادات النوع|Type Settings
Type Successfully Add|تم إضافة النوع بنجاح|Type Successfully Added
Type Title|عنوان النوع|Type Title
Type1: Analysis based on all Quality Metrics Standards|النوع 1 : النوع يعتمد على جميع المعايير الخاصة بمعايير الجودة|Type1: Analysis based on all Quality Metrics Standards
Types|الأنواع|Types
Unacceptable|غير مقبول|Unacceptable
Uncheck All|الغاء تحديد الكل|Uncheck All
Under Maintenance|قيد الصيانة|Under Maintenance
Undergraduate|قيد التخرج|Undergraduate
Unimportant|غير مهمة|Unimportant
Unique Field|تمت إضافته في تسجيل سابق|This has already been added in a record previously.
Unit|وحدة|Unit
Unit Goals|أهداف الوحدة|Unit Goals
Unit Head|رئيس الوحدة|Unit Head
Unit Objectives|غاية الوحدة|Unit Objectives
Unit Type|نوع الوحدة|Unit Type
Units|الوحدات|Units
University|الجامعة|University
University Keyword|الكلمة المفتاحية للجامعة|University Keyword
University Logo|شعار الجامعة|University Logo
University Mission|رؤية الجامعة|University Mission
University Mission Keyword|الكلمة المفتاحية لرؤية الجامعة|University Mission Keyword
University Mission Keywords|الكلمات المفتاحية لرؤية الجامعة|University Mission Keywords
university mission Keywords to be displayed.|الكلمة المفتاحية لرؤية الجامعة ليتم عرضها|university mission Keywords to be displayed.
University Mission Title|عنوان رؤية الجامعة|University Mission Title
university mission to be displayed.|رؤية الجامعة ليتم عرضها|university mission to be displayed.
University Mission to College Mission|رؤية الجامعة مع رؤية الكلية|University Mission to College Mission
University performance|أداء الجامعة|University Performance
University Report|تقرير الجامعة|University Report
Unknown|غير معروف|Unknown
Unlimited|غير محدد|Unlimited
Unread|غير مقروء|Unread
Update|تحديث|Update
Update Info|تحديث البيانات|Update Info
User|مستخدم|User
User Contact Info|بيانات الاتصال للمستخدم|User Contact Info
User Info|بيانات المستخدم|User Info
User List|لائحة المستخدمين|User List
User Login Info|بيانات الدخول للمستخدم|User Login Info
User Name|اسم المستخدم|User Name
User Name or Email|اسم المستخدم|User Name or Email
User Personal Info|البيانات الشخصية للمستخدم|User Personal Info
User Removed Successfully|تم حذف المستخدم بنجاح|User Removed Successfully
User Successfully Saved|تم حفظ المستخدم بنجاح|User Successfully Saved
Users|المستخدمين|Users
Value|القيمة|Value
Value not found|لم يتم العثور على قيمة|Value not found
Value removed successfully|تم حذف القيمة بنجاح|Value removed successfully
Value Successfully Saved|تم حفظ القيمة بنجاح|Value Successfully Saved
Values|القيمة|Values
Vice Rectorate|نائب إدارة الجامعة|Vice Rectorate
View|عرض|View
view your launced surveys and edit them|عرض الاستبيان الذي بدأت به وتعديله|view your launced surveys and edit them
Vision|رسالة|Vision
Vision & Mission|الرؤية والرسالة|Vision & Mission
Vision Successfully Saved|تم حفظ الرسالة بنجاح|Vision Successfully Saved
Visit Reviewer|زيارة مراجع|Visit Reviewer
Visit Reviewers|زيارة المراجعين|Visit Reviewers
Warning|تحذير|Warning
Warning, Changing this number will affect the saved levels in each KPI|ملاحظة: التعديل على هذا الرقم سوف يؤثر على مستويات مؤشرات الأداء المحفوظة|Note: Changing the number of levels in the scale of the KPIs may affect previously inputted level descriptions in all KPIs.
WE'VE ALMOST DONE!|تم الإنتهاء تقريبا !|WE'VE ALMOST DONE!
Website|الموقع الإلكتروني|Website
Weight|الوزن|Weight
Weights|الأوزان|Weights
Where to find|أماكن وجوده|Where to find
with all agencies|مع جميع الهيئات|with all agencies
within|ضمن|within
Wizard Step 1|إعتماد: الخطوة الأولى|Wizard Step 1
Wizard Step 2|إعتماد: الخطوة الثانية|Wizard Step 2
work|العمل|Work
Work List|لائحة العمل|Work List
Work Successfully Saved|تم حفظ العمل بنجاح|Work Successfully Saved
Works|الأعمال|Works
Works Removed Successfully|تم حذف العمل بنجاح|Works Removed Successfully
Writing|كتابة|Writing
Wrong Text Entered|النص المدخل خاطئ|Wrong Text Entered
Xls|Xls|Xls
Year|سنة|Year
Year is not valid|السنة خاطئة|Year is not valid
Years|السنوات|Years
Yes|نعم|Yes
Yes / No|نعم / لا|Yes / No
you are already added this KPI!|قمت بإضافة مؤشر الأداء سابقاً|you are Already Added this KPI!
You are Independent Reviewer.|أنت مراجع مستقل|You are Independent Reviewer.
you can not change the rate because deadline is started|لا يمكنك تعديل النسبة لأن الموعد النهائي بدء|you Can't Change the Rate because Deadline is started
You can not change this to a blank value|لا يمكنك ترك القيمة فارغة|You can't Change this to a Blank Value
You can not have more than one Course - Accreditations per Semester.|لا يمكنك إضافة إعتماد مادة دراسية أكثر من مرة واحدة في الفصل الدراسي|You Can't have More than One Course - Accreditations per Semester.
You can not have more than one Institutional - Accreditations per Year.|لا يمكنك الحصول على أكثر من إعتماد مؤسسي في السنة الواحدة|You Can't have More than One Institutional - Accreditations per Year.
You can not have more than one Program - Accreditations per year.|لا يمكنك الحصول على أكثر من إعتماد برامجي في السنة|You Can't have More than One Program - Accreditations per year.
You can not have more than one SSR - Accreditations per 2 year.|لا يمكنك الحصول على اعتماد SSR أكثر من مرة واحدة كل سنتين|You can't have More than One SSR - Accreditations per 2 year.
You can not leave this to a blank value|لا يمكنك ترك القيمة فارغة|You Can't Leave this to a Blank Value
You can search for a faculty member by his/her name or email|يمكن البحث عن عضو الهيئة التدريسية من خلال الاسم أو البريد الإلكتروني|You can search for a faculty member by his/her name or email
You can search for a student by his/her name or email|يمكن البحث عن الطالب من خلال الاسم أو البريد الإلكتروني|You can search for a student by his/her name or email
You Cant Leave It Empty|لا يمكنك ترك هذا الحقل فارغ|You Can't Leave It Empty
You Don't have any notifications|لا يوجد لديك اشعارات|You Don't have any Notifications
You have already answered this survey.|لقد قمت بالإجابة على هذا الاستبيان مسبقاً|You have Already Answered this Survey.
You have no evaluation requests.|لا يوجد لديك أي طلبات تقييم|You have no Evaluation Requests.
You have nothing to review|لا يوجد ما يحتاج للمراجعة|You have Nothing to Review
You have to add at least one field.|يجب عليك إضافة حقل واحد على الأقل|You have to Add at Least One Field.
You have to enter task|يجب  إدخال المهمة|You have to Enter Task
You have to enter title|يجب إدخال  العنوان|You have to Enter Title
You have to select user|يجب اختيار مستخدم|You have to Select User
You must add at least one form input|يجب إضافة مدخل واحد على الأقل|You must Add at Least One Form Input
You must fill rate input|يجب تعبئة المدخل الخاص بالنسبة|You must Fill Rate Input
You will lose your changes when closing the form without saving.<\br><\br>Are you sure you want to continue?|"سوف تخسر جميع التعديلات الخاصة بك إذا لم تقم بحفظها. </br></br>
هل أنت متأكد من المتابعة"|You will Loose your Changes when Closing the Form Without Saving.<\br><\br>Are you sure you Want to Continue?
Your Link is inactive|الرابط الخاص بك غير نشط|Your Link is inactive
Your Plan|خطتك|Your Plan
Sleep|لم يبدأ|Sleep
Inactive|غير نشط|Inactive
Visited|تمت الزيارة|Visited
Not Accredited|غير معتمد|Not Accredited
Consistency (University Mission to College Mission)|ربط رسالة الجامعة برسالة الكلية|Consistency (University Mission to College Mission)
Consistency (College Mission to Program Mission)|ربط رسالة الكلية برسالة البرنامج|Consistency (College Mission to Program Mission)
Summary (Details)|الملخص (التفاصيل)|Summary (Details)
Strongly Disagree (SD)|لا أوافق بشدة (SD)|Strongly Disagree (SD)
Disagree (D)|لا أوافق (D)|Disagree (D)
Neutral (N)|محايد (N)|Neutral (N)
Agree (A)|أوافق (A)|Agree (A)
Strongly Agree (SA)|أوافق بشدة (SA)|Strongly Agree (SA)
Policies & Management|السياسات والادارة|Policies & Management
Meeting Minutes|محاضر الاجتماعات|Meeting Minutes
Policies & Procedures|السياسات والاجراءات|Policies & Procedures
Rubrics|المواضيع|Rubrics
Meeting Title|عنوان المحضر|Meeting Title
Next meeting date should not set before meeting date|موعد الاجتماع القادم يجب أن يكون بعد موعد الاجتماع الحالي|Next meeting date shouldn't set before meeting date
Minutes|محاضر|Minutes
Agenda|جدول الأعمال|Agenda
Attendance|الحضور|Attendance
You have to select at least one user|يرجى اختيار مستخدم واحد على الأقل|You have to select at least one user
You have to insert at least one user|يرجى ادخال مستخدم واحد على الأقل|You have to insert at least one user
This user is exist|هذا المستخدم موجود مسبقاً|This user is exist
Reference|المرجع|Reference
Attended|حضر|Attended
Absent|تغيب|Absent
Meeting Individual|اجتماع فردي|Meeting Individual
Meeting Committee|لجنة الاجتماع|Meeting Committee
You must select one of committee|يرجى اختيار واحدة من اللجان|You must select one of committee
Action Attachment|ارفاق الإجراء|Action Attachment
Upload Attachment|تحميل المرفق|Upload Attachment
Select Owner|اختر منشئ|Select Owner
Insert Topic|ادخل الموضوع|Insert Topic
Agenda Attachment|مرفق جدول الأعمال|Agenda Attachment
Agenda topics that do not show a corresponding "Edit" button have had their owner deleted from the attendance.|مواضيع جدول الأعمال التي لا يمكن تعديلها قد تم حذفها من قبل المنشئ|Agenda topics that do not show a corresponding "Edit" button have had their owner deleted from the attendance.
Owner|المنشئ|Owner
Attendees|الحاضرين|Attendees
External Attendees|الحضور الخارجيين|External Attendees
Attendant|حاضر|Attendant
Attendee|الحاضرين|Attendee
New Member|عضو جديد|New Member
Minutes Attachment|ارفاق المحضر|Minutes Attachment
Objective to be displayed.|غايات ليتم عرضها|Objective to be displayed.
Meeting Reference|مراجع الاجتماع|Meeting Reference
Meeting Subject|موضوع الاجتماع|Meeting Subject
Coordinator|المنسق|Coordinator
No Meeting Reference|لا يوجد مراجع للاجتماع|No Meeting Reference
Clear Selection|إزالة المحددة|Clear Selection
Reference Name|اسم المرجع|Reference Name
Next Meeting|الاجتماع التالي|Next Meeting
Next Meeting Date|تاريخ الاجتماع التالي|Next Meeting Date
Next Meeting Location|موقع الاجتماع التالي|Next Meeting Location
Next Meeting Objectives|غايات المجتمع التالي|Next Meeting Objectives
This meeting has done. you cannot edit anymore|هذا الاجتماع منتهي لا يمكن التعديل عليه|This meeting has done. you can't edit anymore
Policies & Procedures|السياسات والإجراءات|Policies & Procedures
Add New|إضافة جديد|Add New
Please Select at least one Manager|يرجى اختيار مدير واحد على الأقل|Please Select at least one Manager
Please Select Manager|يرجى اختيار مدير|Please Select Manager
Please add at least one Role and responsibility|يرجى اضافة مسمى وظيفي ومسؤولياته مرة واحدة على الأقل|Please add at least one Role and responsibility
Please add at least one Contact|يرجى إضافة جهة اتصال واحدة على الأقل|Please add at least one Contact
Invalid Phone Number|رقم الهاتف خاطئ|Invalid Phone Number
Files for|ملفات ل|Files for
Audience|جمهور|Audience
Compliance|الإلتزام|Compliance
Contact definition|تعريف جهة الإتصال|Contact definition
Contacts|جهات الإتصال|Contacts
Contact Name|اسم جهة الإتصال|Contact Name
Definition|تعريف|Definition
Document history|تاريخ المستند|Document history
Procedures|الإجراءات|Procedures
Reason for policy|سبب الإجراء|Reason for policy
Reason|سبب|Reason
Related regulations statutes and related policies|القوانين والسياسات المرتبطة|Related regulations statutes and related policies
Regulations|القوانين|Regulations
Roles & Responsibilities|المسميات الوظيفية والمسؤوليات|Roles & Responsibilities
Responsibilities|المسؤوليات|Responsibilities
Policy / Procedure Name|اسم السياسة / الإجراء|Policy / Procedure Name
Policies & Procedures Manager|مدير السياسة والإجراء|Policies & Procedures Manager
Find Managers|العثور على مدراء|Find Managers
Description Added|وصف مضاف|Description Added
Files has been attached|ملفات تم إرفاقها|Files has been attached
File Name|اسم الملف|File Name
Definitions|التعريفات|Definitions
Forms & Upload Files|النماذج والملفات المرفقة|Forms & Upload Files
Managers|المدراء|Managers
Description of this Document|وصف المستند|Description of this Document
Document Statements|بيانات المستند|Document Statements
Forms & Other Related Documents|النماذج والمستندات الأخرى|Forms & Other Related Documents
Can not assign a committee for your program.|لا يمكن تعيين لجنة للبرنامج الخاص بك|Can't assign a committee for your program.
Committee Description|وصف اللجنة|Committee Description
Find Users|العثور على مستخدمين|Find Users
Leader|قائد|Leader
This user will be assigned to his college or program automatically|هذا المستخدم سوف يتم تعيينه بشكل تلقائي على الكلية أو البرنامج الخاص به|This user will be assigned to his college or program automatically
Committee Name|اسم اللجنة|Committee Name
Committee has Entered|لجان تم إدخالها|Committee has Entered
Committee work will take place from|عمل اللجنة سوف يتم من |Committee work will take place from
to|إلى|to
Chairman|رئيس اللجنة|Chairman
Description for this Committee|وصف عمل هذه اللجنة|Description for this Committee
End Time should be after Start time|وقت النهاية يجب أن يأتي بعد وقت البداية|End Time should be after Start time
there is a room already taken in this date and this time|تم حجز غرفة مسبقاً في نفس الوقت|there is a room already taken in this date and this time
Please select room|يرجى اختيار غرفة|Please select room
No direct script access allowed|لا يمكن الوصول بشكل مباشر |No direct script access allowed
Enter Owner Name|ادخل اسم المنشئ|Enter Owner Name
Enter Action|ادخل الإجراء|Enter Action
Topic|موضوع|Topic
Add More|إضافة المزيد|Add More
Room|غرفة|Room
Room Number|رقم الغرفة|Room Number
Reference Meeting|الاجتماع المرجعي|Reference Meeting
Please Select at least Two User|يرجى إضافة مستخدمين اثنين على الأقل|Please Select at least Two User
Please Select Leader|يرجى اختيار قائد|Please Select Leader
Invalid Leader|قائد خاطئ|Invalid Leader
Operation not allowed!|عملية غير مسموحة|Operation not allowed!
Select Member|اختر عضو|Select Member
Male|ذكر|Male
Female|أنثى|Female
This Committee is mapped with Meeting, You Can't remove it|لا يمكن حذف اللجنة لارتباطها بأحد الإجتماعات|This Committee is mapped with Meeting, You Can't remove it
Examination|الاختبار|Examination
Assignments Bank|بنك الوظائف|Assignments Bank
The resource you requested does not exist!|المصدر المطلوب غير متاح|The resource you requested does not exist!
Assignment|وظيفة|Assignment
Please Enter mark|يرجى إدخال العلامة|Please Enter mark
Mark must be a number|يجب أن تكون العلامة رقماً|Mark must be a number
Mark must be integer|يجب أن تكونه العلامة عدداً صحيحاً|Mark must be integer
You can not edit this assignment|لا يمكنك التعديل على هذه الوظيفة|You can't edit this assignment
Please Enter start time|يرجى إدخال وقت البداية|Please Enter start time
Please Enter end time|يرجى إدخال وقت الانتهاء|Please Enter end time
Date Must larger than current date|التاريخ يجب أن يكون أكبر من التاريخ الحالي|Date Must larger than current date
End time Must be greater than start time|يجب أن يكون تاريخ الانتهاء أكبر من تاريخ البدء|End time Must be greater than start time
Assignment has Published|تم نشر الوظيفة|Assignment has Published
Assignment has unpublished.|الوظيفة غير منشورة|Assignment has unpublished.
Assignment has answers.|تحتوي الوظيفة على إجابات|Assignment has answers.
Please Select Question|يرجى اختيار سؤال|Please Select Question
Please Enter a Mark for this question|يرجى إدخال علامة هذا السؤال|Please Enter a Mark for this question
Mark must be larger than 0|يجب أن تكون العلامة أكبر من 0|Mark must be larger than 0
Question already selected|تم اختيار السؤال مسبقاً|Question already selected
mark Must be less or equal to|يجب أن تكون العلامة مساوية أو أقل ل|Mark Must be less or equal to
Total of marks for all question must be equal to|العلامة النهائية لجميع الأسئلة يجب أن تكون مساوية ل|Total of marks for all question must be equal to
Question Removed Successfully|تم حذف السؤال بنجاح|Question Removed Successfully
View Assignment|عرض الوظيفة|View Assignment
You are not exam creator|أنت لست منشئ هذا الاختبار|You are not the exam creator
Quiz|اختبار قصير|Quiz
Correction|تصحيح|Correction
Check Answers|تفقد الإجابات|Check Answers
Students List|لائحة الطلاب|Students List
It's greater than|أكبر من|It's greater than
Please Select at least one Proctor|يرجى اختيار مراقب واحد على الأقل|Please Select at least one Proctor
Please Select Proctor|يرجى اختيار مراقب|Please Select Proctor
Exam Removed Successfully|تم حذف الاختبار بنجاح|Exam Removed Successfully
Please Enter date|يرجى إدخال تاريخ|Please Enter date
Please Enter duration time|يرجى إدخال المدة الزمنية|Please Enter duration time
Exam has Published|تم نشر الإختبار|Exam has Published
Exam has unpublished.|الإختبار غير منشور|Exam has unpublished.
Exam has answers.|يحتوي الإختبار على إجابات|Exam has answers.
You can not edit this exam|لا يمكنك التعديل على الإختبار|You can't edit this exam
View Exam|عرض الاختبار|View Exam
Examination Bank|بنك الاختبارات|Test Bank
Students Attendance|حصور الطلاب|Students Attendance
Proctor|المراقب|Proctor
Question Bank|بنك الأسئلة|Question Bank
You have to fill this field|يجب تعبئة هذا الحقل|You have to fill this field
Please Select Question Status|يرجى اختيار حالة السؤال|Please Select Question Status
You can not edit this question|لا يمكنك التعديل على السؤال|You can't edit this question
You can not delete this question|لا يمكنك حذف هذا السؤال|You can't delete this question
Quiz Removed Successfully|تم حذف الاختبار بنجاح|Quiz Removed Successfully
Quiz has Started|تم بدء الاختبار|Quiz has Started
Quiz has Stopped|تم ايقاف الاختبار|Quiz has Stopped
You can not edit this quiz|لا يمكنك التعديل على هذا الاختبار|You can't edit this quiz
No assignment defined|لم يتم العثور على وظائف|No assignment defined
View File|عرض الملف|View File
Exam|اختبار|Exam
